full_equity,full_drawdown,fng_equity,fng_drawdown
1.20824102,-0.02332788,1.17485007,-0.03751148
1.21748529,-0.01585535,1.18383887,-0.03014747
1.20979250,-0.02207376,1.17635867,-0.03627557
1.21136438,-0.02080314,1.17788711,-0.03502340
1.23197753,-0.00414066,1.19793060,-0.01860290
1.25765429,0.00000000,1.22289775,0.00000000
1.25269756,-0.00394125,1.21807801,-0.00394125
1.25286637,-0.00380702,1.21824216,-0.00380702
1.25568405,-0.00156659,1.22098197,-0.00156659
1.25353644,-0.00327423,1.22184925,-0.00085740
1.25701987,-0.00050444,1.22646647,0.00000000
1.26224219,0.00000000,1.23156186,0.00000000
1.26401396,0.00000000,1.22860159,-0.00240367
1.26838509,0.00000000,1.23162165,0.00000000
1.27548065,0.00000000,1.23851155,0.00000000
1.27345609,-0.00158730,1.23654567,-0.00158730
1.28215588,0.00000000,1.24499331,0.00000000
1.27713579,-0.00391535,1.24011872,-0.00391535
1.28322740,0.00000000,1.24603377,0.00000000
1.28275378,-0.00036909,1.24557387,-0.00036909
1.28729728,0.00000000,1.23991648,-0.00490940
1.28743894,0.00000000,1.23978004,-0.00501891
1.28480973,-0.00204220,1.24231192,-0.00298696
1.29182948,0.00000000,1.24785716,0.00000000
1.28543493,-0.00495000,1.25278619,0.00000000
1.29272786,0.00000000,1.24567849,-0.00567351
1.29135094,-0.00106512,1.24700529,-0.00461443
1.28743817,-0.00409188,1.25078370,-0.00159843
1.28005078,-0.00980646,1.24485741,-0.00632892
1.27581890,-0.01308006,1.24772808,-0.00403749
1.27281261,-0.01540560,1.25066818,-0.00169064
1.27062154,-0.01710052,1.25282113,0.00000000
1.26803085,-0.01910457,1.25151955,-0.00103892
1.26892676,-0.01841153,1.25240380,-0.00033311
1.26628410,-0.02045578,1.24979555,-0.00241501
1.26417903,-0.02208417,1.24771789,-0.00407340
1.26190107,-0.02384631,1.24871847,-0.00327473
1.26415189,-0.02210517,1.24969707,-0.00249362
1.25029843,-0.03282163,1.26214243,0.00000000
1.25869890,-0.02632338,1.25366238,-0.00671877
1.26272273,-0.02321070,1.25641646,-0.00453671
1.25160181,-0.03181338,1.24535107,-0.01330385
