bench_equity,bench_drawdown,patchtst_equity,patchtst_drawdown
1.1140844,-0.029043555,1.3600239594617922,-0.006942267445795736
1.1018275,-0.03972578,1.3437169640768198,-0.018849254634595747
1.0972888,-0.043681324,1.338181924457767,-0.022890811296486735
1.1024314,-0.039199412,1.344453350580825,-0.018311562407290927
1.1061493,-0.035959184,1.348987502222434,-0.015000830771316642
1.1046585,-0.037258446,1.3471692811836011,-0.01632845331027566
1.1061915,-0.035922408,1.3490390344505332,-0.014963203141866721
1.1036772,-0.038113713,1.350760864578203,-0.013705962995079979
1.1032077,-0.03852284,1.3488366471748052,-0.015110981603954854
1.1016382,-0.039890766,1.3494081754876552,-0.014693664977655119
1.1027414,-0.038929284,1.3480581725964629,-0.015679405560195758
1.1034096,-0.038346887,1.347526865829537,-0.01606735335301479
1.1019979,-0.039577305,1.3479047853876176,-0.015791405317816976
1.109408,-0.033119142,1.355612209833311,-0.010163623990418813
1.1045831,-0.03732413,1.3497166598737993,-0.014468416883383406
1.0962639,-0.04457462,1.3585999776040032,-0.00798202574200535
1.1069108,-0.035295486,1.345532156460421,-0.0175238435489542
1.115873,-0.027484715,1.3550706458073298,-0.010559061394247005
1.1037899,-0.038015425,1.3403974756228583,-0.021273067578770233
1.1060616,-0.036035657,1.3431560318347513,-0.01925883425747643
1.0916134,-0.048627615,1.3256107795055532,-0.032069967748109884
1.0973413,-0.043635607,1.317373459612409,-0.03808466635580687
1.0957487,-0.04502362,1.314146685560383,-0.04044078140898422
1.1029814,-0.03872007,1.3042242693532546,-0.047685897990613624
1.1139315,-0.029176772,1.3158557410863478,-0.039192868978018214
1.1116602,-0.031156242,1.3131727887921074,-0.04115189808433184
1.1151197,-0.0281412,1.3172594457297975,-0.03816791663015551
1.1214051,-0.022663295,1.3246840291271362,-0.03274665923066189
1.1088756,-0.033583105,1.3098833425396075,-0.04355377491461887
1.1064092,-0.035732687,1.3114911142427685,-0.042379817565633804
1.1081679,-0.034199953,1.3094098944311803,-0.04389947566626062
1.1084384,-0.033964217,1.3090904033184034,-0.04413276061526328
1.1068139,-0.035379946,1.3058655286752596,-0.046487488764434426
1.1102015,-0.03242761,1.3005798225497207,-0.05034698793241432
1.1077048,-0.034603536,1.296357945953402,-0.05342970362333721
1.107025,-0.035195947,1.2955624438730486,-0.054010560663878215
1.1087431,-0.03369862,1.292261850891429,-0.05642057657544253
1.1133487,-0.029684663,1.2963327683377466,-0.05344808773027887
1.1119537,-0.030900478,1.2966618761081397,-0.0532077809224768
1.1063217,-0.03580892,1.2888050347390556,-0.058944662997781117
1.0790114,-0.059610605,1.256989981216349,-0.08217527205620723
1.0780799,-0.06042242,1.2568187204626196,-0.08230032265887555
1.0895185,-0.050453365,1.2436236073275146,-0.09193508610519674
1.0818855,-0.05710584,1.2523978601279444,-0.08552833162838569
1.0908743,-0.049271762,1.2615412518335356,-0.0788520405440708
1.0995283,-0.04172957,1.271549267129718,-0.0715444215067359
1.0983627,-0.04274547,1.270201221274398,-0.07252873310738805
1.0966318,-0.044254005,1.268199531621452,-0.07399032014355933
1.1010408,-0.040411353,1.2732985158113157,-0.07026716097221686
1.1043503,-0.037527025,1.2771255647524467,-0.06747273921411967
1.1053039,-0.036696017,1.2782284130636405,-0.06666746513372857
1.102386,-0.03923899,1.27485402812366,-0.06913136220991556
1.1048433,-0.037097454,1.2776956381016495,-0.0670564849682952
1.1040311,-0.03780526,1.2767563629313705,-0.06774232176135497
1.1038136,-0.037994802,1.2765051111543189,-0.06792577994110494
1.1086098,-0.033814788,1.2820515701717325,-0.06387588510122477
1.1121087,-0.030765414,1.2767407290015602,-0.06775373729178025
1.1163675,-0.027053773,1.2803489396865795,-0.06511910611744343
1.1151749,-0.0280931,1.2804369968730391,-0.0650548088164199
1.1115477,-0.03125429,1.2749966788126756,-0.06902720200832824
1.1108699,-0.031845033,1.2742191345681444,-0.06959494665654775
1.104769,-0.037162185,1.27997506124166,-0.06539210342618895
1.1037766,-0.038027108,1.2775469276264286,-0.06716506988424653
1.1037166,-0.03807932,1.2774775690770375,-0.0672157138771795
1.1102843,-0.03235537,1.2850792011069474,-0.061665179701060224
1.111383,-0.03139788,1.286350810516649,-0.06073668020786549
1.1086719,-0.033760667,1.2832130124350138,-0.0630278270854504
1.0975249,-0.043475628,1.270311132479533,-0.07244847851231684
1.0986961,-0.04245484,1.2716667079899135,-0.07145866893339059
1.1026736,-0.038988292,1.2762704493675217,-0.06809712449742156
