CNN-Transformer_equity,CNN-Transformer_drawdown,XGBoost_equity,XGBoost_drawdown,Transformer_equity,Transformer_drawdown,PatchTST_equity,PatchTST_drawdown,LSTM-Transformer_equity,LSTM-Transformer_drawdown,LSTM_equity,LSTM_drawdown,TimeMixer_equity,TimeMixer_drawdown,ModernTCN_equity,ModernTCN_drawdown,TCN_equity,TCN_drawdown,DLinear_equity,DLinear_drawdown
1.08846906,-0.01564085,1.06183506,-0.00588204,1.02963128,-0.00588204,1.03952277,-0.00588204,1.07324274,-0.01631792,1.01063013,-0.01851321,1.05558769,-0.00588204,0.95285376,-0.06485762,1.01082676,-0.01034810,0.98951137,-0.02903561
1.09506273,-0.00967785,1.06826739,0.00000000,1.03586852,0.00000000,1.04581994,0.00000000,1.07974417,-0.01035902,1.01675227,-0.01256761,1.06198218,0.00000000,0.95862591,-0.05919276,1.01695009,-0.00435304,0.98252765,-0.03588843
1.09930903,-0.00583770,1.07240979,0.00000000,1.03988529,0.00000000,1.04987529,0.00000000,1.08393108,-0.00652151,1.02069491,-0.00873866,1.06610020,0.00000000,0.95395004,-0.06378172,1.02089350,-0.00049224,0.98535505,-0.03311403
1.10474381,-0.00092274,1.07771158,0.00000000,1.04502629,0.00000000,1.05506568,0.00000000,1.08928983,-0.00160994,1.02574104,-0.00383805,1.07137080,0.00000000,0.94923389,-0.06841021,1.02594061,0.00000000,0.99022646,-0.02833392
1.09620215,-0.00864741,1.06937893,-0.00773180,1.03694636,-0.00773180,1.04690813,-0.00773180,1.08086766,-0.00932928,1.01781022,-0.01154017,1.06308718,-0.00773180,0.94094537,-0.07654466,1.01800824,-0.00773180,0.98257023,-0.03584665
1.10202586,-0.00338073,1.07506014,-0.00246025,1.03040051,-0.01399561,1.05246995,-0.00246025,1.08660990,-0.00406623,1.02321746,-0.00628886,1.06873496,-0.00246025,0.94594426,-0.07163869,1.02341653,-0.00246025,0.98779025,-0.03072447
1.08792348,-0.01613424,1.06130284,-0.01522554,1.04358631,-0.00137793,1.03900173,-0.01522554,1.07270480,-0.01681097,1.01012357,-0.01900516,1.05505860,-0.01522554,0.95710335,-0.06068702,1.01032010,-0.01522554,0.99944299,-0.01929014
1.08275336,-0.02080985,1.06528515,-0.01153039,1.03967048,-0.00512505,1.04290036,-0.01153039,1.07672990,-0.01312176,1.01391385,-0.01532418,1.05901748,-0.01153039,0.95351202,-0.06421160,1.01411111,-0.01153039,1.00219374,-0.01659095
1.08153416,-0.02191243,1.06515091,-0.01165495,1.03980149,-0.00499968,1.04276894,-0.01165495,1.07578885,-0.01398428,1.01378608,-0.01544827,1.05888403,-0.01165495,0.95363218,-0.06409367,1.01398332,-0.01165495,1.00131784,-0.01745043
1.06571852,-0.03621534,1.07966181,0.00000000,1.02563593,-0.01855490,1.02752018,-0.02610785,1.06113302,-0.02741710,1.02759723,-0.00203539,1.07330956,0.00000000,0.94064053,-0.07684384,1.02779716,0.00000000,0.98767655,-0.03083603
