bench_equity,bench_drawdown,cnn_transformer_equity,cnn_transformer_drawdown,lstm_transformer_equity,lstm_transformer_drawdown,transformer_equity,transformer_drawdown,lstm_equity,lstm_drawdown,tcn_equity,tcn_drawdown,modern_tcn_equity,modern_tcn_drawdown,patchtst_equity,patchtst_drawdown,xgboost_equity,xgboost_drawdown
0.9772223,-0.050922632,1.1265414522712545,-0.00012857385361519924,1.0660367938506299,-0.00012857385361531026,1.121772511863251,-0.00012857385361508822,1.0499777865843287,-0.012928328741599437,0.9442084787612028,-0.07866436905475982,0.9904498382255154,-0.0380760603039082,1.0411159555262592,-0.01498224542088089,0.9772223414284786,-0.05092259259687015
0.95275974,-0.074680686,1.155466049258532,0.0,1.0934078990803329,0.0,1.1505746635742542,0.0,1.0769365676050495,0.0,0.9684515722266727,-0.055008549056852374,1.014864832644639,-0.0143642409740391,1.0678472039591578,0.0,0.9527596906989997,-0.07468069568997404
0.9489633,-0.07836783,1.1600885425826581,0.0,1.0977821260143816,0.0,1.155177588692386,0.0,1.0812449002449016,0.0,0.9636285657801478,-0.059714721250192504,1.009810682524419,-0.019272826757815498,1.072119174195458,0.0,0.9489633207254217,-0.07836772659309443
0.95816815,-0.06942803,1.1489439470717233,-0.009606676647391121,1.087236088100476,-0.009606676647391121,1.1440801711275053,-0.009606676647391232,1.0708577301116082,-0.00960667664739101,0.9534174034693949,-0.06967852467060343,1.0196057048386393,-0.009759910413877915,1.0618196719614943,-0.009606676647391121,0.9581681321447713,-0.06942802250820745
0.9643115,-0.06346166,1.1416243755778563,-0.015916170470657187,1.0803096385570963,-0.015916170470657187,1.1367915852668753,-0.015916170470657187,1.064035622092075,-0.015916170470657187,0.9473434719551749,-0.0756053190701984,1.0261429486219489,-0.0034109454768336267,1.055055142654103,-0.015916170470657076,0.9643114664116388,-0.06346162211841844
0.97158045,-0.056402028,1.1330831728557549,-0.023278714283982427,1.0722271695568302,-0.023278714283982316,1.144215953820418,-0.009489133947254147,1.0560749091410875,-0.023278714283982427,0.9402558056311855,-0.08252129120074903,1.0338780338795877,0.0,1.0619456917440981,-0.009489133947253925,0.9715804647686704,-0.0564019778362127
0.9824649,-0.045831084,1.1446317334250562,-0.013323818476123406,1.0831554762410331,-0.013323818476123406,1.1570344375442279,0.0,1.0668385894658043,-0.013323818476123406,0.9298389560114952,-0.09268579928630527,1.0454604180488,0.0,1.073842513772965,0.0,0.982464938396595,-0.04583098741387137
0.9743085,-0.05375254,1.135128958031098,-0.02151524097979085,1.0741630790298753,-0.02151524097979063,1.1474286944375283,-0.008302037342196589,1.0579816556579629,-0.02151524097979063,0.9211977397842331,-0.10111768756517792,1.0367809666183705,-0.008302037342196589,1.0649274331239835,-0.0083020373421967,0.9743084777906275,-0.05375253418712844
0.9749502,-0.053129375,1.1358765631159529,-0.02087080302750266,1.0748705314952225,-0.02087080302750255,1.148184400227959,-0.0076488970674483125,1.0586784509073985,-0.02087080302750266,0.9218044480437194,-0.10052567642608412,1.0374637989230533,-0.0076488970674483125,1.0656288029184655,-0.007648897067448424,0.9749501652104223,-0.05312932797609171
0.9804017,-0.047834873,1.1422279387038266,-0.015395897143393289,1.0808807853164086,-0.015395897143393289,1.1546045964066531,-0.002100059478551075,1.0645981649739127,-0.015395897143393178,0.9269588164480093,-0.09549616930693483,1.0432648889884268,-0.002100059478550964,1.071587380623445,-0.002100059478551075,0.9804017035903712,-0.047834799092892566
0.98035926,-0.04787606,1.1421784904644887,-0.015438521682402784,1.0808339928593544,-0.015438521682402673,1.1545546123688888,-0.0021432596082467947,1.0645520774084833,-0.015438521682402673,0.9269186874335991,-0.09553532622158079,1.0422672663955774,-0.0030543018158278867,1.0715409904875772,-0.0021432596082467947,0.9803592609776108,-0.04787601931798802
0.9830046,-0.04530686,1.1452605099139421,-0.012781811150125666,1.0837504821956825,-0.012781811150125555,1.1576700271665619,0.0,1.0674246321229348,-0.012781811150125666,0.9294198564247699,-0.0930947464530063,1.0440351311359084,-0.0013633102586052548,1.0744324038709847,0.0,0.9830046323753474,-0.045306837135648426
0.98681974,-0.041601658,1.1497054054771598,-0.008950297088860748,1.087956649847712,-0.008950297088860526,1.1621630855780578,0.0,1.0715674371618942,-0.008950297088860748,0.9330270481164659,-0.08957493667797711,1.0480871586720522,0.0,1.0786024069258378,0.0,0.9868197931106076,-0.0416015566626764
0.9883885,-0.040078104,1.1515330297570725,-0.0073748791678770464,1.0896861154823705,-0.007374879167876935,1.1591588514704787,-0.0025850365967223787,1.0732708497547123,-0.007374879167876935,0.930615139051353,-0.09192841878523783,1.0497532459406065,0.0,1.0803170026282485,0.0,0.9883884869735704,-0.04007804267680737
0.986764,-0.04165578,1.1496404910219657,-0.009006253554950439,1.0878952218394036,-0.009006253554950439,1.1610670593351822,-0.0009430915991712752,1.071506934518299,-0.009006253554950328,0.9281570564673174,-0.0943269558873927,1.0480279817676235,-0.0016434949638447494,1.0785415070750732,-0.0016434949638446383,0.9867640754729072,-0.04165566957935207
0.98601097,-0.042387128,1.1487630571228513,-0.00976260435655485,1.0870649134484056,-0.00976260435655485,1.159021303390824,-0.002703391827035162,1.070689134071268,-0.009762604356554738,0.9274486641730247,-0.09501818783044313,1.0472281010348163,-0.002405465203898949,1.0777183376692459,-0.002405465203898949,0.9860109528602211,-0.04238710154360692
0.98558897,-0.04279697,1.1482714065857573,-0.010186408677559045,1.0865996686398796,-0.010186408677559045,1.1585252625033824,-0.003130217367785293,1.0702308978104804,-0.010186408677559045,0.9270517323331292,-0.09540550424983418,1.0467799056866622,-0.0028324182520436114,1.0772570930320111,-0.0028324182520437224,0.9855889573829566,-0.042796943149267186
